name,type,group
Bangkok Bank Public Co. Ltd.,Commercial Banks (KBs),1
"Bank of America, N.A.",Commercial Banks (KBs),1
Bank of China Limited-Manila Branch,Commercial Banks (KBs),1
Bank of Commerce,Commercial Banks (KBs),1
"BDO Private Bank, Inc.",Commercial Banks (KBs),1
"Cathay United Bank Co., LTD. - Manila Branch",Commercial Banks (KBs),1
"Chang Hwa Commercial Bank, Ltd. - Manila Branch",Commercial Banks (KBs),1
CIMB Bank Philippines Inc.,Commercial Banks (KBs),1
"Citibank, N.A.",Commercial Banks (KBs),1
CTBC Bank (Philippines) Corporation,Commercial Banks (KBs),1
"First Commercial Bank, Ltd., Manila Branch",Commercial Banks (KBs),1
"Hua Nan Commercial Bank, Ltd. - Manila Branch",Commercial Banks (KBs),1
Industrial and Commercial Bank of China Limited - Manila Branch,Commercial Banks (KBs),1
Industrial Bank of Korea Manila Branch,Commercial Banks (KBs),1
"JP Morgan Chase Bank, N.A.",Commercial Banks (KBs),1
KEB Hana Bank - Manila Branch,Commercial Banks (KBs),1
"Maybank Philippines, Incorporated",Commercial Banks (KBs),1
"Mega International Commercial Bank Co., Ltd.",Commercial Banks (KBs),1
"MUFG Bank, Ltd.",Commercial Banks (KBs),1
Philippine Bank of Communications,Commercial Banks (KBs),1
Philippine Veterans Bank,Commercial Banks (KBs),1
Robinsons Bank Corporation,Commercial Banks (KBs),1
Shinhan Bank - Manila Branch,Commercial Banks (KBs),1
Sumitomo Mitsui Banking Corporation-Manila Branch,Commercial Banks (KBs),1
"United Overseas Bank Limited, Manila Branch",Commercial Banks (KBs),1
Al-Amanah Islamic Investment Bank of the Philippines,Universal Banks (UBs),1
Asia United Bank Corporation,Universal Banks (UBs),1
Australia and New Zealand Banking Group Limited,Universal Banks (UBs),1
Bank of the Philippine Islands,Universal Banks (UBs),1
"BDO Unibank, Inc.",Universal Banks (UBs),1
China Banking Corporation,Universal Banks (UBs),1
Deutsche Bank AG,Universal Banks (UBs),1
Development Bank of the Philippines,Universal Banks (UBs),1
East West Banking Corporation,Universal Banks (UBs),1
ING Bank N.V.,Universal Banks (UBs),1
Land Bank of the Philippines,Universal Banks (UBs),1
Metropolitan Bank and Trust Company,Universal Banks (UBs),1
"Mizuho Bank, Ltd. - Manila Branch",Universal Banks (UBs),1
Philippine National Bank,Universal Banks (UBs),1
Philippine Trust Company,Universal Banks (UBs),1
Rizal Commercial Banking Corporation,Universal Banks (UBs),1
Security Bank Corporation,Universal Banks (UBs),1
Standard Chartered Bank,Universal Banks (UBs),1
The Hongkong & Shanghai Banking Corporation,Universal Banks (UBs),1
Union Bank of the Philippines,Universal Banks (UBs),1
United Coconut Planters Bank,Universal Banks (UBs),1
"1st Valley Bank, Inc. A Development Bank",Thrift Banks,2
"AllBank (A Thrift Bank), Inc.",Thrift Banks,2
"Bangko Kabayan, Inc. (A Private Development Bank)",Thrift Banks,2
"Bank of Makati (A Savings Bank), Inc.",Thrift Banks,2
Bank One Savings Corporation,Thrift Banks,2
Bataan Development Bank,Thrift Banks,2
"BPI Direct BanKO, Inc., A Savings Bank",Thrift Banks,2
"BPI Family Savings Bank, Inc.",Thrift Banks,2
"CARD SME Bank, Inc. A Thrift Bank",Thrift Banks,2
Century Savings Bank Corporation,Thrift Banks,2
"China Bank Savings, Inc.",Thrift Banks,2
"City Savings Bank, Inc.",Thrift Banks,2
"Citystate Savings Bank, Inc.",Thrift Banks,2
"Cordillera Savings Bank, Inc.",Thrift Banks,2
"Dumaguete City Development Bank, Inc.",Thrift Banks,2
"Enterprise Bank, Inc. (A Thrift Bank)",Thrift Banks,2
"Equicom Savings Bank, Inc.",Thrift Banks,2
"Farmers Savings and Loan Bank, Inc.",Thrift Banks,2
"First Consolidated Bank, Inc. (A Private Development Bank)",Thrift Banks,2
Hiyas Banking Corporation,Thrift Banks,2
"HSBC Savings Bank (Phils), Inc.",Thrift Banks,2
Inter-Asia Development Bank,Thrift Banks,2
"ISLA Bank (A Thrift Bank), Inc.",Thrift Banks,2
"Legazpi Savings Bank, Inc.",Thrift Banks,2
"Lemery Savings and Loan Bank, Inc.",Thrift Banks,2
"Life Savings Bank, Inc.",Thrift Banks,2
Luzon Development Bank,Thrift Banks,2
"Malayan Bank Savings and Mortgage Bank, Inc.",Thrift Banks,2
Maritime Savings Bank Corporation,Thrift Banks,2
Metro-Cebu Public Savings Bank,Thrift Banks,2
"Northpoint Development Bank, Inc.",Thrift Banks,2
"Overseas Filipino Bank, Inc., A Savings Bank of LANDBANK",Thrift Banks,2
"Pacific Ace Savings Bank, Inc.",Thrift Banks,2
Pampanga Development Bank,Thrift Banks,2
"Penbank, Inc. (A Private Development Bank) (formerly: Peninsula Rural Bank, Inc.)",Thrift Banks,2
"Phil Star Development Bank, Inc.",Thrift Banks,2
"Philippine Business Bank, Inc., A Savings Bank",Thrift Banks,2
Philippine Savings Bank,Thrift Banks,2
PNB Savings Bank,Thrift Banks,2
Producers Savings Bank Corporation,Thrift Banks,2
"Queen City Development Bank, Inc. or Queenbank, A Thrift Bank",Thrift Banks,2
"Quezon Coconut Bank, Inc. (A Thrift Bank)",Thrift Banks,2
"Rizal Microbank, Inc. - A Thrift Bank of RCBC",Thrift Banks,2
"Sterling Bank of Asia, Inc. (A Savings Bank)",Thrift Banks,2
"Sun Savings Bank, Inc.",Thrift Banks,2
UCPB Savings Bank,Thrift Banks,2
"University Savings Bank, Inc.",Thrift Banks,2
Wealth Development Bank Corporation,Thrift Banks,2
"Yuanta Savings Bank Philippines, Inc.",Thrift Banks,2
Banco Cooperativa De Zamboanga,Cooperative Banks (Coop. Banks),3
Bataan Cooperative Bank,Cooperative Banks (Coop. Banks),3
Consolidated Cooperative Bank,Cooperative Banks (Coop. Banks),3
Cooperative Bank of Aurora,Cooperative Banks (Coop. Banks),3
Cooperative Bank of Benguet (CBB),Cooperative Banks (Coop. Banks),3
Cooperative Bank of Bohol,Cooperative Banks (Coop. Banks),3
Cooperative Bank of Cagayan,Cooperative Banks (Coop. Banks),3
Cooperative Bank of Cebu,Cooperative Banks (Coop. Banks),3
Cooperative Bank of Cotabato,Cooperative Banks (Coop. Banks),3
Cooperative Bank of La Union,Cooperative Banks (Coop. Banks),3
Cooperative Bank of Mt. Province,Cooperative Banks (Coop. Banks),3
Cooperative Bank of Negros Oriental,Cooperative Banks (Coop. Banks),3
Cooperative Bank of Nueva Vizcaya,Cooperative Banks (Coop. Banks),3
Cooperative Bank of Palawan,Cooperative Banks (Coop. Banks),3
Cooperative Bank of Quezon Province,Cooperative Banks (Coop. Banks),3
Cooperative Bank of Zambales,Cooperative Banks (Coop. Banks),3
"First Isabela Cooperative Bank, Inc. (Ficobank)",Cooperative Banks (Coop. Banks),3
Ilocos Consolidated Cooperative Bank,Cooperative Banks (Coop. Banks),3
Metro South Cooperative Bank,Cooperative Banks (Coop. Banks),3
Mindanao Consolidated Cooperative Bank,Cooperative Banks (Coop. Banks),3
National Teachers & Employees Cooperative Bank,Cooperative Banks (Coop. Banks),3
Negros Cooperative Bank,Cooperative Banks (Coop. Banks),3
Network Consolidated Cooperative Bank,Cooperative Banks (Coop. Banks),3
Occidental Mindoro Cooperative Bank (OMCB),Cooperative Banks (Coop. Banks),3
Zamboanga Del Norte Cooperative Bank,Cooperative Banks (Coop. Banks),3
Advantage Bank Corp. (A Microfinance-Oriented Rural Bank),Rural Banks (RBs),3
"Agribusiness Rural Bank, Inc.",Rural Banks (RBs),3
"Agricultural Bank of the Philippines, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Aliaga Farmers Rural Bank, Inc.",Rural Banks (RBs),3
"Anilao Bank (Rural Bank of Anilao (Iloilo), Inc.",Rural Banks (RBs),3
"ARDCIBank, Inc., A Rural Bank",Rural Banks (RBs),3
"ASENSO Rural Bank of Bautista, Inc.",Rural Banks (RBs),3
"Aspac Rural Bank, Inc.",Rural Banks (RBs),3
"Aurorabank (A Microfinance-Oriented Rural Bank), Inc.",Rural Banks (RBs),3
"Baclaran Rural Bank, Inc.",Rural Banks (RBs),3
"Balanga Rural Bank, Inc.",Rural Banks (RBs),3
"Baliuag Rural Bank, Inc.",Rural Banks (RBs),3
"Banco Alabang, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Banco Bakun, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Banco de Arevalo, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Banco De Calamba, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Banco de Mindoro, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Banco Laguna, Inc. (A Rural Bank Since 1965)",Rural Banks (RBs),3
"Banco Maximo, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Banco Mexico, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Banco Rural de General Tinio (BRGT), Inc.",Rural Banks (RBs),3
"Banco Rural De Isla Cordova (Cebu), Inc.",Rural Banks (RBs),3
"Banco San Vicente, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Banco Santiago De Libon, Inc.",Rural Banks (RBs),3
"Banco Sual (A Rural Bank), Inc.",Rural Banks (RBs),3
"Bangko Carrascal, Inc. (A Rural Bank)",Rural Banks (RBs),3
"Bangko Kaisa, Inc. (Formerly: Rural Bank of Bugasong (Antique), Inc.)",Rural Banks (RBs),3
"Bangko Mabuhay (A Rural Bank), Inc.",Rural Banks (RBs),3
"Bangko Magsaysay (Isabela), Inc. - A Rural Bank",Rural Banks (RBs),3
